(0,23798)
(1026,562)
(1028,342)
(1030,57)
(1051,110)
(1053,55)
(1155,734)
(1157,190)
(1159,38)
(1176,132)
(1178,44)
(1198,111)
(1200,37)
(1226,480)
(1228,120)
(1230,40)
(12484,5184)
(13694,4216)
(13828,1126)
(13830,204)
(13832,51)
(13853,204)
(13855,51)
(13877,106)
(13879,53)
(13905,419)
(13929,117)
(13931,39)
(13948,34)
(13950,34)
(13977,968)
(14106,334)
(14108,168)
(14110,56)
(14130,108)
(14132,36)
(14146,29)
(14148,29)
(14166,300)
(14168,58)
(14170,29)
(14209,92)
(14211,46)
(14510,2686)
(14512,1053)
(14514,293)
(14516,34)
(14518,17)
(14549,75)
(14551,25)
(14642,467)
(14644,150)
(14646,50)
(14667,81)
(14669,27)
(14682,155)
(14684,31)
(16381,1633)
(16449,318)
(16471,72)
(16473,18)
(16489,174)
(16491,58)
(16516,891)
(16518,129)
(16520,43)
(16538,172)
(16540,43)
(16556,74)
(16558,37)
(16581,424)
(16601,86)
(16603,43)
(16620,84)
(16622,28)
(2234,590)
(2,2917)
(3133,590)
(3203,186)
(3205,108)
(3207,18)
(3240,26)
(3242,26)
(3333,202)
(3335,104)
(3337,52)
(3357,38)
(3359,38)
(3376,60)
(3378,60)
(6210,3974)
(621,1141)
(623,243)
(625,44)
(627,22)
(643,155)
(645,31)
(685,208)
(687,104)
(689,52)
(747,482)
(749,114)
(751,57)
(7810,1639)
(7812,245)
(7814,129)
(7816,43)
(7834,17)
(7836,17)
(7851,82)
(7853,41)
(791,140)
(793,35)
(7943,804)
(7945,144)
(7947,36)
(7966,156)
(7968,39)
(7982,180)
(7984,45)
(8011,590)
(8035,160)
(8037,32)
(8055,270)
(8057,45)
(8084,2335)
(8213,606)
(8236,60)
(8238,30)
(8256,142)
(8258,71)
(8283,1041)
(8285,69)
(8287,23)
(8305,153)
(8307,51)
(8326,273)
(8328,39)
(8355,344)
(8357,90)
(8359,30)
(8373,160)
(8375,40)
(8391,94)
(8393,47)
(8425,2470)
(9310,1558)
(9312,450)
(9314,159)
(9316,53)
(9336,54)
(9338,27)
(9352,78)
(9354,26)
(9376,902)
(9378,200)
(9380,40)
(9398,210)
(9400,30)
(9418,92)
(9420,23)
(9512,103)
(9514,22)
(9516,22)
(9549,37)
(9551,37)
(956,1776)
(9654,912)
(9785,408)
(9787,69)
(9789,23)
(9803,135)
(9805,45)
(9916,252)
(9918,168)
(9920,42)
(9964,84)
(9966,42)
