Reading in file 12:15:59 12/24/18 Eastern Standard Time
main: testCPU code passed
sortedListByOpcode
[0, 2, 1, 3, 2, 0, 1, 0, 2, 0, 1, 1]
[0, 3, 1, 0, 3, 0, 2, 1, 1, 0, 2, 1]
[0, 2, 1, 2, 0, 0, 1, 2, 0, 0, 1, 2]
[0, 2, 1, 3, 0, 0, 1, 0, 0, 0, 1, 1]
[0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]
[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0]
[0, 0, 1, 0, 1, 0, 3, 0, 1, 0, 3, 0]
[0, 2, 1, 3, 2, 0, 1, 2, 2, 0, 1, 1]
[0, 3, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1]
[0, 1, 0, 2, 0, 1, 2, 0, 0, 1, 1, 0]
[0, 2, 1, 3, 0, 0, 1, 2, 0, 0, 1, 1]
[0, 0, 1, 2, 1, 0, 1, 3, 1, 0, 1, 3]
[0, 3, 1, 0, 0, 0, 2, 1, 1, 0, 2, 1]
[0, 2, 1, 3, 3, 0, 1, 3, 3, 0, 1, 1]
[0, 1, 0, 1, 0, 1, 2, 3, 0, 1, 2, 3]
[0, 2, 1, 0, 3, 0, 1, 1, 1, 0, 1, 1]
[0, 0, 1, 2, 1, 0, 3, 0, 1, 0, 1, 0]
[0, 2, 1, 2, 3, 0, 1, 3, 3, 0, 1, 3]
[0, 3, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1]
[0, 0, 1, 1, 1, 0, 2, 0, 1, 1, 2, 0]
[0, 1, 0, 1, 0, 1, 3, 2, 0, 1, 3, 2]
[0, 0, 1, 0, 1, 0, 2, 0, 1, 0, 2, 0]
[0, 1, 0, 3, 0, 1, 1, 0, 0, 1, 1, 1]
[0, 0, 1, 2, 1, 0, 0, 3, 1, 0, 1, 3]
[0, 2, 1, 0, 2, 0, 1, 1, 1, 0, 1, 1]
[0, 1, 0, 1, 0, 1, 1, 3, 0, 1, 1, 3]
[0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0]
[0, 3, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1]
[0, 3, 1, 2, 1, 0, 3, 1, 1, 0, 1, 1]
[0, 0, 1, 1, 1, 0, 2, 1, 1, 1, 2, 1]
[0, 3, 1, 2, 3, 0, 3, 1, 3, 0, 1, 1]
[0, 0, 1, 3, 1, 0, 2, 3, 1, 0, 2, 1]
[0, 2, 1, 0, 1, 0, 1, 3, 1, 0, 1, 3]
[0, 2, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1]
[0, 2, 1, 0, 0, 0, 1, 2, 1, 0, 1, 2]
